probe,column,gene,system_id,system,input,requested_gene,best_direction,best_label,best_confidence,best_evidence,best_tier,best_expected_accuracy,direction_uncertain,best_direction_filled,best_direction_flipped,smr_direction,smr_tier,smr_p,smr_n_instruments,smr_gene_dist,smr_agreement,consensus_direction,n_tissues_calling,tissue_agreement,gene_blood,dir_blood,conf_blood,tier_blood,status_blood,gene_nasal,dir_nasal,conf_nasal,tier_nasal,status_nasal,gene_solid,dir_solid,conf_solid,tier_solid,status_solid,gene_universal,dist_universal,dir_universal,p_universal,agree_universal,dist_unanimous,dist_dir_blood,dist_dir_nasal,dist_dir_solid,measured_genes,measured_tissues,measured_direction,measured_direction_requested,annotation_mismatch,mismatch_note,note,p_conf,p_plus
cg04227637,cg04227637_BC21_T1_CRH,CRH,2,HPA axis & glucocorticoid signalling,cg04227637,CRH,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04257105,cg04257105_BC11_T1_GNAS,GNAS,19,GPCR signalling & second messengers,cg04257105,GNAS,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CTSZ,,0.4648,A,REQUESTED_GENE_UNAVAILABLE,CTSZ,,0.3409,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04262428,cg04262428_TC11_T1_SHANK2,SHANK2,16,Glutamate & synaptic scaffolding,cg04262428,SHANK2,1,higher methylation -> HIGHER expression,0.6296,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,1,1,,,,,,,,1,1,COL19A1,,0.2377,B,REQUESTED_GENE_UNAVAILABLE,SHANK2,,0.3197,B,ABSTAIN,SHANK2,1,0.6296,A,PREDICTED,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.6296,0.8148
cg04269530,cg04269530_BC21_T1_GRIN2D,GRIN2D,16,Glutamate & synaptic scaffolding,cg04269530,GRIN2D,1,higher methylation -> HIGHER expression,,smr_moderate,,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,1,1,1,S2,5.242e-13,1,3759,TRUE,,0,,CARD8,,0.298,A,REQUESTED_GENE_UNAVAILABLE,KDELR1,,0.0694,A,REQUESTED_GENE_UNAVAILABLE,CYTH2,,0.0131,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.85
cg04305133,cg04305133_BC11_T1_GRIN1,GRIN1,16,Glutamate & synaptic scaffolding,cg04305133,GRIN1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,DPP7,,0.3429,A,REQUESTED_GENE_UNAVAILABLE,DPP7,,0.4852,A,REQUESTED_GENE_UNAVAILABLE,MAN1B1-AS1,,0.1474,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04307396,cg04307396_BC21_T1_TDO2,TDO2,15,Kynurenine pathway,cg04307396,TDO2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,CTSO,,0.3771,A,REQUESTED_GENE_UNAVAILABLE,CTSO,,0.1667,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04315646,cg04315646_TC21_T1_HLA_DPB2,HLA-DPB2,24,"Immune, inflammation & HLA",cg04315646,HLA-DPB2,-1,higher methylation -> LOWER expression,,smr_moderate,,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,-1,-1,-1,S2,2.556e-88,1,6413,TRUE,,0,,DYNLRB1,,0.9394,A,REQUESTED_GENE_UNAVAILABLE,HLA-DPB1,,0.8509,A,REQUESTED_GENE_UNAVAILABLE,DYNLRB1,,0.0131,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,HLA-DPA1;HLA-DPB1,blood,HLA-DPA1:+1;HLA-DPB1:+1,,TRUE,"measured association is with HLA-DPA1;HLA-DPB1, not the requested gene - check which gene this CpG actually tracks","causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run | measured association is with HLA-DPA1;HLA-DPB1, not the requested gene",0.7,0.15
cg04321197,cg04321197_BC21_T1_IL10,IL10,24,"Immune, inflammation & HLA",cg04321197,IL10,-1,higher methylation -> LOWER expression,0.5493,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,IL10,-1,0.5493,A,PREDICTED,IL19,,0.6818,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.5493,0.22535
cg04332373,cg04332373_TC21_T1_CD38,CD38,1,"Oxytocin, vasopressin & CICR",cg04332373,CD38,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,BST1,,0.1556,B,REQUESTED_GENE_UNAVAILABLE,BST1,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04342110,cg04342110_TC21_T1_RYR1,RYR1,1,"Oxytocin, vasopressin & CICR",cg04342110,RYR1,-1,higher methylation -> LOWER expression,0.6135,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,TLR6,,0.0153,A,REQUESTED_GENE_UNAVAILABLE,RYR1,-1,0.6135,A,PREDICTED,RYR1,,0.2027,B,ABSTAIN,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.6135,0.19325
cg04406445,cg04406445_TC11_T1_MAOA,MAOA,11,"Monoamine synthesis, transport & degradation",cg04406445,MAOA,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04407063,cg04407063_BC21_T1_GRK2,GRK2,19,GPCR signalling & second messengers,cg04407063,GRK2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CARNS1,,0.12,A,REQUESTED_GENE_UNAVAILABLE,POLD4,,0.0695,A,REQUESTED_GENE_UNAVAILABLE,CLCF1,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,TBC1D10C,nasal_epithelium,TBC1D10C:+1,,TRUE,"measured association is with TBC1D10C, not the requested gene - check which gene this CpG actually tracks","no catalogue holds this CpG-gene pair and no distance could be computed | measured association is with TBC1D10C, not the requested gene",,
cg04410756,cg04410756_BC21_T1_PTGFR,PTGFR,7,"Pregnancy, parturition & lactation",cg04410756,PTGFR,,,,no_evidence,,,FALSE,,,,,,,,,,0,,PAPD4,,0.2377,B,REQUESTED_GENE_UNAVAILABLE,IFI44L,,0.0288,B,REQUESTED_GENE_UNAVAILABLE,KCNMA1,,0.4431,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04414295,cg04414295_TC11_T1_HSP90AA1,HSP90AA1,2,HPA axis & glucocorticoid signalling,cg04414295,HSP90AA1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,NUP37,,0.2377,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,KAZALD1,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04416415,cg04416415_TC21_T1_PRLR,PRLR,6,Libido & sexual function,cg04416415,PRLR,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CREM,,0.1934,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,CREM,,0.1124,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04416566,cg04416566_BC21_T1_NR4A1,NR4A1,18,Neurotrophins & activity-dependent plasticity,cg04416566,NR4A1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,ANKRD33,,0.3429,A,REQUESTED_GENE_UNAVAILABLE,ACVRL1,,0.3197,A,REQUESTED_GENE_UNAVAILABLE,KRT7,,0.5988,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04438997,cg04438997_BC21_T1_SOX9,SOX9,5,"HPG axis, puberty & KNDy",cg04438997,SOX9,-1,higher methylation -> LOWER expression,0.6477,catalogue_consensus,A,"0.77-0.87 (tier A, tissues agree)",FALSE,-1,-1,,,,,,,-1,2,1,SOX9-AS1,,0.298,B,REQUESTED_GENE_UNAVAILABLE,SOX9,-1,0.8567,A,PREDICTED,SOX9,-1,0.4386,A,PREDICTED,,,,,,,,,,,,,,,"","",0.6477,0.17615
cg04444816,cg04444816_BC21_T1_AR,AR,4,Sex steroids: receptors & metabolism,cg04444816,AR,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04453050,cg04453050_TC11_T1_GRM2,GRM2,16,Glutamate & synaptic scaffolding,cg04453050,GRM2,-1,higher methylation -> LOWER expression,,smr_moderate,,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,-1,-1,-1,S2,3.87e-68,1,5961,TRUE,,0,,IQCF4,,0.1971,B,REQUESTED_GENE_UNAVAILABLE,PARP3,,0.8793,A,REQUESTED_GENE_UNAVAILABLE,EPS15,,0.3688,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,PARP3,nasal_epithelium,PARP3:+1,,TRUE,"measured association is with PARP3, not the requested gene - check which gene this CpG actually tracks","causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run | measured association is with PARP3, not the requested gene",0.7,0.15
cg04453367,cg04453367_TC11_T1_CHGA,CHGA,10,Noradrenaline & sympathetic nervous system,cg04453367,CHGA,,,,no_evidence,,,FALSE,,,,,,,,,,0,,LGMN,,0.2377,B,REQUESTED_GENE_UNAVAILABLE,LGMN,,0.31,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04457481,cg04457481_TC21_T1_GNAS,GNAS,19,GPCR signalling & second messengers,cg04457481,GNAS,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CTSZ,,0.4648,A,REQUESTED_GENE_UNAVAILABLE,CTSZ,,0.3409,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04470971,cg04470971_BC21_T1_GRM5,GRM5,16,Glutamate & synaptic scaffolding,cg04470971,GRM5,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,GRM5,,0.1556,B,ABSTAIN,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04484695,cg04484695_BC21_T1_MAOB,MAOB,11,"Monoamine synthesis, transport & degradation",cg04484695,MAOB,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04484994,cg04484994_TC21_T1_INS,INS,27,Appetite & metabolic programming,cg04484994,INS,,,,no_evidence,,,FALSE,,,,,,,,,,0,,MAD1L1,,0.4517,A,REQUESTED_GENE_UNAVAILABLE,CD81,,0.4852,A,REQUESTED_GENE_UNAVAILABLE,MAD1L1,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04489586,cg04489586_TC11_T1_NNAT,NNAT,21,Imprinted genes & DMRs,cg04489586,NNAT,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,BLCAP,,0.3771,A,REQUESTED_GENE_UNAVAILABLE,SRC,,0.1815,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04490037,cg04490037_BC21_T1_DDC,DDC,11,"Monoamine synthesis, transport & degradation",cg04490037,DDC,,,,no_evidence,,,FALSE,,,,,,,,,,0,,LIMA1,,0.1077,A,REQUESTED_GENE_UNAVAILABLE,GRB10,,0.9158,A,REQUESTED_GENE_UNAVAILABLE,BRD7,,0.2414,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04491396,cg04491396_BC21_T1_TSC22D3,TSC22D3,2,HPA axis & glucocorticoid signalling,cg04491396,TSC22D3,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04515132,cg04515132_BC21_T1_CACNA1D,CACNA1D,1,"Oxytocin, vasopressin & CICR",cg04515132,CACNA1D,,,,no_evidence,,,FALSE,,,,,,,,,,0,,ZNF525,,0.1971,B,REQUESTED_GENE_UNAVAILABLE,CHDH,,0.3409,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04523291,cg04523291_TC21_T1_OXTR,OXTR,1,"Oxytocin, vasopressin & CICR",cg04523291,OXTR,1,higher methylation -> HIGHER expression,,smr_moderate,B,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,1,1,1,S2,8.913e-17,1,7797,TRUE,,1,1,TRIM66,,0.126,B,REQUESTED_GENE_UNAVAILABLE,OXTR,-1,0.8366,B,PREDICTED,TRIM66,,0.1474,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.85
cg04527918,cg04527918_BC21_T1_UCN,UCN,2,HPA axis & glucocorticoid signalling,cg04527918,UCN,,,,no_evidence,,,FALSE,,,,,,,,,,0,,LOC105374363,,0.058,B,REQUESTED_GENE_UNAVAILABLE,ATRAID,,0.1453,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,KRTCAP3,nasal_epithelium,KRTCAP3:-1,,TRUE,"measured association is with KRTCAP3, not the requested gene - check which gene this CpG actually tracks","no catalogue holds this CpG-gene pair and no distance could be computed | measured association is with KRTCAP3, not the requested gene",,
cg04530457,cg04530457_BC21_T1_GHRL,GHRL,27,Appetite & metabolic programming,cg04530457,GHRL,,,,no_evidence,,,FALSE,,,,,,,,,,0,,GHRLOS,,0.9957,A,REQUESTED_GENE_UNAVAILABLE,GHRLOS,,0.0694,A,REQUESTED_GENE_UNAVAILABLE,SLX4IP,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04535236,cg04535236_BC21_T1_GATA2,GATA2,4,Sex steroids: receptors & metabolism,cg04535236,GATA2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04538999,cg04538999_TC11_T1_SLC6A1,SLC6A1,17,GABA & excitation-inhibition balance,cg04538999,SLC6A1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,DEXI,,0.126,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,NDUFA4,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04550524,cg04550524_TC21_T1_GABRG2,GABRG2,17,GABA & excitation-inhibition balance,cg04550524,GABRG2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,FCGR3B,,0.1852,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04554755,cg04554755_TC21_T1_PPARG,PPARG,27,Appetite & metabolic programming,cg04554755,PPARG,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,TIMP4,,0.3197,B,REQUESTED_GENE_UNAVAILABLE,TIMP4,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04554967,cg04554967_TC21_T1_PPARG,PPARG,27,Appetite & metabolic programming,cg04554967,PPARG,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,TIMP4,,0.3197,B,REQUESTED_GENE_UNAVAILABLE,TIMP4,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04555249,cg04555249_TC21_T1_DTNBP1,DTNBP1,25,Social-synaptic & psychiatric risk,cg04555249,DTNBP1,-1,higher methylation -> LOWER expression,0.4729,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,DTNBP1,-1,0.4729,A,PREDICTED,DTNBP1,,0.3771,B,ABSTAIN,DTNBP1,,0.0131,A,ABSTAIN,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.4729,0.26355
cg04558553,cg04558553_TC21_T1_UGT2B7,UGT2B7,4,Sex steroids: receptors & metabolism,cg04558553,UGT2B7,,,,no_evidence,,,FALSE,,,,,,,,,,0,,UGT2B11,,0.126,B,REQUESTED_GENE_UNAVAILABLE,UGT2B7,,0.1239,A,ABSTAIN,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04561261,cg04561261_BC21_T1_HSD17B2,HSD17B2,4,Sex steroids: receptors & metabolism,cg04561261,HSD17B2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,HSD17B2,,0.0131,A,ABSTAIN,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04572760,cg04572760_BC21_T1_MCHR1,MCHR1,13,Orexin / hypocretin & MCH,cg04572760,MCHR1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,XPNPEP3;RBX1,,0.289,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04573935,cg04573935_BC21_T1_RGS9,RGS9,8,Dopamine,cg04573935,RGS9,-1,higher methylation -> LOWER expression,0.3429,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,RGS9,-1,0.3429,A,PREDICTED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.3429,0.32855
cg04594694,cg04594694_TC21_T1_SHANK3,SHANK3,16,Glutamate & synaptic scaffolding,cg04594694,SHANK3,,,,no_evidence,,,FALSE,,,,,,,,,,0,,MAPK8IP2,,0.126,B,REQUESTED_GENE_UNAVAILABLE,MAPK8IP2,,0.1453,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04595326,cg04595326_TC21_T1_GABRB1,GABRB1,17,GABA & excitation-inhibition balance,cg04595326,GABRB1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,SNORD67,,0.0153,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04600961,cg04600961_BC21_T1_RORA,RORA,23,Circadian & melatonin,cg04600961,RORA,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,OSBPL2,,0.3409,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04602791,cg04602791_TC21_T1_CALM1,CALM1,1,"Oxytocin, vasopressin & CICR",cg04602791,CALM1,-1,higher methylation -> LOWER expression,0.6135,catalogue_single,B,"0.55-0.84 (tier B, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,DGLUCY,,0.2377,B,REQUESTED_GENE_UNAVAILABLE,CALM1,-1,0.6135,B,PREDICTED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.6135,0.19325
cg04607131,cg04607131_TC21_T1_HTR6,HTR6,9,Serotonin,cg04607131,HTR6,-1,higher methylation -> LOWER expression,,smr_moderate,,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,-1,-1,-1,S2,4.086e-131,1,8134,TRUE,,0,,MINOS1-NBL1,,0.4729,A,REQUESTED_GENE_UNAVAILABLE,NBL1,,0.8366,A,REQUESTED_GENE_UNAVAILABLE,GPRC5B,,0.1815,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.15
cg04632887,cg04632887_BC11_T1_AVP,AVP,1,"Oxytocin, vasopressin & CICR",cg04632887,AVP,-1,higher methylation -> LOWER expression,0.6,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,AVP,-1,0.6,A,PREDICTED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.6,0.2
cg04633676,cg04633676_BC21_T1_CCL2,CCL2,24,"Immune, inflammation & HLA",cg04633676,CCL2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,DDX58,,0.2377,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,TMEM39B,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04638282,cg04638282_BC21_T1_ATP2A3,ATP2A3,1,"Oxytocin, vasopressin & CICR",cg04638282,ATP2A3,-1,higher methylation -> LOWER expression,0.6135,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,ATP2A3,,0.298,A,ABSTAIN,ATP2A3,-1,0.6135,A,PREDICTED,ATP2A3,,0.1244,A,ABSTAIN,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.6135,0.19325
cg04648494,cg04648494_BC21_T1_TET3,TET3,20,Epigenetic machinery,cg04648494,TET3,-1,higher methylation -> LOWER expression,0.3639,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,AC073263.1,,0.1077,A,REQUESTED_GENE_UNAVAILABLE,TET3,-1,0.3639,A,PREDICTED,EEF1A1,,0.3688,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.3639,0.31805
cg04660147,cg04660147_TC21_T1_OPRL1,OPRL1,12,Opioid & melanocortin,cg04660147,OPRL1,-1,higher methylation -> LOWER expression,,smr_moderate,,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,-1,-1,-1,S2,4.777e-123,1,5318,TRUE,,0,,NTSR1,,0.3429,A,REQUESTED_GENE_UNAVAILABLE,LKAAEAR1,,0.8509,A,REQUESTED_GENE_UNAVAILABLE,RGS19,,0.2694,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.15
cg04674508,cg04674508_TC21_T1_HLA_J,HLA-J,24,"Immune, inflammation & HLA",cg04674508,HLA-J,-1,higher methylation -> LOWER expression,,smr_moderate,A,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,-1,-1,-1,S2,1.698e-13,1,807,TRUE,,1,1,HLA-J,1,0.7856,A,PREDICTED,HLA-J,,0.2113,A,ABSTAIN,RNF39,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.15
cg04677683,cg04677683_TC21_T1_GNAS,GNAS,19,GPCR signalling & second messengers,cg04677683,GNAS,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CTSZ,,0.4648,A,REQUESTED_GENE_UNAVAILABLE,CTSZ,,0.3409,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04707706,cg04707706_BC21_T1_NRXN1,NRXN1,25,Social-synaptic & psychiatric risk,cg04707706,NRXN1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04712664,cg04712664_BC21_T1_HSD11B2,HSD11B2,2,HPA axis & glucocorticoid signalling,cg04712664,HSD11B2,-1,higher methylation -> LOWER expression,0.4583,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,ATP6V0D1,,0.0153,A,REQUESTED_GENE_UNAVAILABLE,HSD11B2,-1,0.4583,A,PREDICTED,ATP6V0D1,,0.0131,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.4583,0.27085
cg04721908,cg04721908_TC21_T1_ABHD6,ABHD6,14,Endocannabinoid,cg04721908,ABHD6,,,,no_evidence,,,FALSE,,,,,,,,,,0,,PXK,,0.298,A,REQUESTED_GENE_UNAVAILABLE,PXK,,0.3409,B,REQUESTED_GENE_UNAVAILABLE,PXK,,0.1124,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg04725166,cg04725166_BC11_T1_PER3,PER3,23,Circadian & melatonin,cg04725166,PER3,-1,higher methylation -> LOWER expression,1,measured,A,"~1.00 (measured, not predicted)",FALSE,-1,-1,-1,S2,5.878e-29,1,12463,TRUE,,1,1,PER3,-1,0.7056,A,DIRECT_eQTM,PER3,,0.31,B,ABSTAIN,PER3,,0.2027,A,ABSTAIN,,,,,,,,,,PER3,blood,PER3:-1,-1,FALSE,"","",1,0
cg04729792,cg04729792_BC21_T1_GRK2,GRK2,19,GPCR signalling & second messengers,cg04729792,GRK2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CARNS1,,0.3429,A,REQUESTED_GENE_UNAVAILABLE,POLD4,,0.0694,A,REQUESTED_GENE_UNAVAILABLE,CLCF1,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
